year,month,hiatus,episode
2012,10,0,1
2012,11,0,2
2012,12,0,3
2013,1,0,4
2013,2,0,5
2013,3,0,6
2013,4,0,7
2013,5,1,
2013,6,0,8
2013,7,1,x1
2013,8,1,
2013,9,0,9
2013,10,0,10
2013,11,0,11
2013,12,1,
2014,1,0,12
2014,2,0,13
2014,3,0,14
2014,4,0,15
2014,5,0,16
2014,6,1,
2014,7,0,x2
2014,8,0,17
2014,9,0,18
2014,10,0,19
2014,11,0,20
2014,12,0,21
2015,1,0,22
2015,2,0,23
2015,3,0,24
2015,4,1,
2015,5,1,
2015,6,0,x3
2015,7,0,25
2015,8,1,
2015,9,0,26
2015,10,0,27
2015,11,0,28
2015,12,0,29
2016,1,1,
2016,2,0,30
2016,3,0,31
2016,4,0,32
2016,5,0,33
2016,6,0,34
2016,7,0,35
2016,8,1,
2016,9,0,36
2016,10,0,37
2016,11,0,38
2016,12,1,
2017,1,1,
2017,2,0,39
2017,3,1,
2017,4,0,40
2017,5,0,41
2017,6,1,
2017,7,0,42
2017,8,1,
2017,9,1,
2017,10,1,
2017,11,0,43
2017,12,1,
2018,1,0,44
2018,2,0,45
2018,3,1,
2018,4,1,
2018,5,0,46
2018,6,1,
2018,7,0,47
2018,8,1,
2018,9,0,48
2018,10,1,
2018,11,1,
2018,12,0,49
2019,1,0,50
2019,2,1,
2019,3,0,51
2019,4,1,
2019,5,1,
2019,6,1,
2019,7,1,
2019,8,1,
2019,9,0,52
2019,10,1,
2019,11,1,
2019,12,1,
2020,1,0,53
2020,2,1,
2020,3,0,54
2020,4,1,
2020,5,0,55
2020,6,1,
2020,7,1,
2020,8,1,
2020,9,1,
2020,10,1,
2020,11,0,56
2020,12,1,
2021,1,1,
2021,2,0,57
2021,3,1,
2021,4,0,58
2021,5,1,
2021,6,0,59
2021,7,0,60
2021,8,1,
2021,9,1,
2021,10,0,61
2021,11,1,
2021,12,1,
2022,1,0,62
2022,2,1,
2022,3,1,
2022,4,1,
2022,5,0,x4
2022,6,0,63
2022,7,1,
2022,8,1,
2022,9,1,
2022,10,1,
2022,11,1,
2022,12,1,
2023,1,1,
2023,2,0,64
2023,3,1,
2023,4,1,
2023,5,0,65
2023,6,1,
2023,7,1,
2023,8,0,66
2023,9,1,
2023,10,1,
2023,11,1,
2023,12,1,
2024,1,1,
2024,2,0,67
2024,3,1,
2024,4,0,67
2024,5,1,
2024,6,1,
2024,7,1,
