year,month,hiatus,episode
2009,7,1,
2009,8,1,
2009,9,1,
2009,10,1,
2009,11,1,
2009,12,1,
2010,1,1,
2010,2,1,
2010,3,1,
2010,4,1,
2010,5,1,
2010,6,1,
2010,7,1,
2010,8,1,
2010,9,1,
2010,10,1,
2010,11,1,
2010,12,1,
2011,1,1,
2011,2,1,
2011,3,1,
2011,4,1,
2011,5,1,
2011,6,1,
2011,7,1,
2011,8,1,
2011,9,1,
2011,10,1,
2011,11,1,
2011,12,1,
2012,1,1,
2012,2,1,
2012,3,1,
2012,4,1,
2012,5,1,
2012,6,1,
2012,7,1,
2012,8,1,
2012,9,1,
2012,10,1,
2012,11,1,
2012,12,1,
2013,1,1,
2013,2,1,
2013,3,1,
2013,4,1,
2013,5,1,
2013,6,1,
2013,7,1,
2013,8,1,
2013,9,1,
2013,10,1,
2013,11,1,
2013,12,1,
2014,1,1,
2014,2,1,
2014,3,1,
2014,4,1,
2014,5,1,
2014,6,1,
2014,7,1,
2014,8,1,
2014,9,1,
2014,10,1,
2014,11,1,
2014,12,1,
2015,1,1,
2015,2,1,
2015,3,1,
2015,4,1,
2015,5,1,
2015,6,1,
2015,7,1,
2015,8,1,
2015,9,1,
2015,10,1,
2015,11,1,
2015,12,1,
2016,1,1,
2016,2,1,
2016,3,1,
2016,4,1,
2016,5,1,
2016,6,1,
2016,7,1,
2016,8,1,
2016,9,1,
2016,10,1,
2016,11,1,
2016,12,1,
2017,1,1,
2017,2,1,
2017,3,1,
2017,4,1,
2017,5,1,
2017,6,1,
2017,7,1,
2017,8,1,
2017,9,1,
2017,10,1,
2017,11,1,
2017,12,1,
2018,1,1,
2018,2,1,
2018,3,1,
2018,4,1,
2018,5,1,
2018,6,1,
2018,7,1,
2018,8,1,
2018,9,1,
2018,10,1,
2018,11,1,
2018,12,1,
2019,1,1,
2019,2,1,
2019,3,1,
2019,4,1,
2019,5,1,
2019,6,1,
2019,7,1,
2019,8,1,
2019,9,1,
2019,10,1,
2019,11,1,
2019,12,1,
2020,1,1,
2020,2,1,
2020,3,1,
2020,4,1,
2020,5,1,
2020,6,1,
2020,7,1,
2020,8,1,
2020,9,1,
2020,10,1,
2020,11,1,
2020,12,1,
2021,1,1,
2021,2,1,
2021,3,1,
2021,4,1,
2021,5,1,
2021,6,1,
2021,7,1,
2021,8,1,
2021,9,1,
2021,10,1,
2021,11,1,
2021,12,1,
2022,1,1,
2022,2,1,
2022,3,1,
2022,4,1,
2022,5,1,
2022,6,1,
2022,7,1,
2022,8,1,
2022,9,1,
2022,10,1,
2022,11,1,
2022,12,1,
2023,1,1,
2023,2,1,
2023,3,1,
2023,4,1,
2023,5,1,
2023,6,1,
2023,7,1,
2023,8,1,
2023,9,1,
2023,10,1,
2023,11,1,
2023,12,1,
2024,1,1,
2024,2,1,
2024,3,1,
2024,4,1,
2024,5,1,
2024,6,1,
2024,7,1,
2024,8,1,
2024,9,1,
2024,10,1,
2024,11,1,
2024,12,1,
2025,1,1,
2025,2,1,
2025,3,1,
2025,4,1,
2025,5,1,
2025,6,1,
2025,7,1,
2025,8,1,
2025,9,1,
2025,10,0,156
2025,11,1,
2025,12,1,
2026,1,1,
2026,2,1,
