"year","month","hiatus","episode"
"2012","10","1","1"
"2012","11","1","2"
"2012","12","1","3"
"2013","1","1","4"
"2013","2","1","5"
"2013","3","1","6"
"2013","4","1","7"
"2013","5","0",""
"2013","6","1","8"
"2013","7","0","x1"
"2013","8","0",""
"2013","9","1","9"
"2013","10","1","10"
"2013","11","1","11"
"2013","12","0",""
"2014","1","1","12"
"2014","2","1","13"
"2014","3","1","14"
"2014","4","1","15"
"2014","5","1","16"
"2014","6","0",""
"2014","7","1","x2"
"2014","8","1","17"
"2014","9","1","18"
"2014","10","1","19"
"2014","11","1","20"
"2014","12","1","21"
"2015","1","1","22"
"2015","2","1","23"
"2015","3","1","24"
"2015","4","0",""
"2015","5","0",""
"2015","6","1","x3"
"2015","7","1","25"
"2015","8","0",""
"2015","9","1","26"
"2015","10","1","27"
"2015","11","1","28"
"2015","12","1","29"
"2016","1","0",""
"2016","2","1","30"
"2016","3","1","31"
"2016","4","1","32"
"2016","5","1","33"
"2016","6","1","34"
"2016","7","1","35"
"2016","8","0",""
"2016","9","1","36"
"2016","10","1","37"
"2016","11","1","38"
"2016","12","0",""
"2017","1","0",""
"2017","2","1","39"
"2017","3","0",""
"2017","4","1","40"
"2017","5","1","41"
"2017","6","0",""
"2017","7","1","42"
"2017","8","0",""
"2017","9","0",""
"2017","10","0",""
"2017","11","1","43"
"2017","12","0",""
"2018","1","1","44"
"2018","2","1","45"
"2018","3","0",""
"2018","4","0",""
"2018","5","1","46"
"2018","6","0",""
"2018","7","1","47"
"2018","8","0",""
"2018","9","1","48"
"2018","10","0",""
"2018","11","0",""
"2018","12","1","49"
"2019","1","1","50"
"2019","2","0",""
"2019","3","1","51"
"2019","4","0",""
"2019","5","0",""
"2019","6","0",""
"2019","7","0",""
"2019","8","0",""
"2019","9","1","52"
"2019","10","0",""
"2019","11","0",""
"2019","12","0",""
"2020","1","1","53"
"2020","2","0",""
"2020","3","1","54"
"2020","4","0",""
"2020","5","1","55"
"2020","6","0",""
"2020","7","0",""
"2020","8","0",""
"2020","9","0",""
"2020","10","0",""
"2020","11","1","56"
"2020","12","0",""
"2021","1","0",""
"2021","2","1","57"
"2021","3","0",""
"2021","4","1","58"
"2021","5","0",""
"2021","6","1","59"
"2021","7","1","60"
"2021","8","0",""
"2021","9","0",""
"2021","10","1","61"
"2021","11","0",""
"2021","12","0",""
"2022","1","1","62"
"2022","2","0",""
"2022","3","0",""
"2022","4","0",""
"2022","5","1","x4"
"2022","6","1","63"
"2022","7","0",""
"2022","8","0",""
"2022","9","0",""
"2022","10","0",""
"2022","11","0",""
"2022","12","0",""
"2023","1","0",""
"2023","2","1","64"
"2023","3","0",""
"2023","4","0",""
"2023","5","1","65"
"2023","6","0",""
"2023","7","0",""
"2023","8","1","66"
"2023","9","0",""
"2023","10","0",""
"2023","11","0",""
"2023","12","0",""
"2024","1","0",""
